Han,Lang,Had_URL,Built_From_Title,Final_URL,OK
Tsuwano Domain,en,False,True,https://en.wikipedia.org/wiki/Tsuwano_Domain,True
Hamada Domain,en,False,True,https://en.wikipedia.org/wiki/Hamada_Domain,True
Iwakuni Domain,en,False,True,https://en.wikipedia.org/wiki/Iwakuni_Domain,True
Tokuyama Domain,en,False,True,https://en.wikipedia.org/wiki/Tokuyama_Domain,True
Kiyosue Domain,en,False,True,https://en.wikipedia.org/wiki/Kiyosue_Domain,True
Chōfu Domain,en,False,True,https://en.wikipedia.org/wiki/Ch%C5%8Dfu_Domain,True
Hagi Domain,en,False,True,https://en.wikipedia.org/wiki/Hagi_Domain,True
Okayama Domain,en,False,True,https://en.wikipedia.org/wiki/Okayama_Domain,True
Asao Domain,en,False,True,https://en.wikipedia.org/wiki/Asao_Domain,True
Ashimori Domain,en,False,True,https://en.wikipedia.org/wiki/Ashimori_Domain,True
Ikusaka Domain,en,False,True,https://en.wikipedia.org/wiki/Ikusaka_Domain,True
Okada Domain,en,False,True,https://en.wikipedia.org/wiki/Okada_Domain,True
Kamogata Domain,en,False,True,https://en.wikipedia.org/wiki/Kamogata_Domain,True
Niimi Domain,en,False,True,https://en.wikipedia.org/wiki/Niimi_Domain,True
Niwase Domain,en,False,True,https://en.wikipedia.org/wiki/Niwase_Domain,True
Matsuyama Domain,en,False,True,https://en.wikipedia.org/wiki/Matsuyama_Domain,True
Fukuyama Domain,en,False,True,https://en.wikipedia.org/wiki/Fukuyama_Domain,True
Katsuyama Domain,en,False,True,https://en.wikipedia.org/wiki/Katsuyama_Domain,True
Tsuyama Domain,en,False,True,https://en.wikipedia.org/wiki/Tsuyama_Domain,True
Tsuruda Domain,en,False,True,https://en.wikipedia.org/wiki/Tsuruda_Domain,True
Tokushima Domain,en,False,True,https://en.wikipedia.org/wiki/Tokushima_Domain,True
Imabari Domain,en,False,True,https://en.wikipedia.org/wiki/Imabari_Domain,True
Uwajima Domain,en,False,True,https://en.wikipedia.org/wiki/Uwajima_Domain,True
Ōzu Domain,en,False,True,https://en.wikipedia.org/wiki/%C5%8Czu_Domain,True
Komatsu Domain,en,False,True,https://en.wikipedia.org/wiki/Komatsu_Domain,True
Saijō Domain,en,False,True,https://en.wikipedia.org/wiki/Saij%C5%8D_Domain,True
Niya Domain,en,False,True,https://en.wikipedia.org/wiki/Niya_Domain,True
Matsuyama Domain,en,False,True,https://en.wikipedia.org/wiki/Matsuyama_Domain,True
Yoshida Domain,en,False,True,https://en.wikipedia.org/wiki/Yoshida_Domain,True
Takamatsu Domain,en,False,True,https://en.wikipedia.org/wiki/Takamatsu_Domain,True
Tadotsu Domain,en,False,True,https://en.wikipedia.org/wiki/Tadotsu_Domain,True
Marugame Domain,en,False,True,https://en.wikipedia.org/wiki/Marugame_Domain,True
Tosa Domain,en,False,True,https://en.wikipedia.org/wiki/Tosa_Domain,True
Tosa Shinden Domain,en,False,True,https://en.wikipedia.org/wiki/Tosa_Shinden_Domain,True
Satsuma Domain,en,False,True,https://en.wikipedia.org/wiki/Satsuma_Domain,True
Kurume Domain,en,False,True,https://en.wikipedia.org/wiki/Kurume_Domain,True
Yanagawa Domain,en,False,True,https://en.wikipedia.org/wiki/Yanagawa_Domain,True
Akizuki Domain,en,False,True,https://en.wikipedia.org/wiki/Akizuki_Domain,True
Fukuoka Domain,en,False,True,https://en.wikipedia.org/wiki/Fukuoka_Domain,True
Tsushima Domain,en,False,True,https://en.wikipedia.org/wiki/Tsushima_Domain,True
Uto Domain,en,False,True,https://en.wikipedia.org/wiki/Uto_Domain,True
Kumamoto Domain,en,False,True,https://en.wikipedia.org/wiki/Kumamoto_Domain,True
Kumamoto Shinden Domain,en,False,True,https://en.wikipedia.org/wiki/Kumamoto_Shinden_Domain,True
Hitoyoshi Domain,en,False,True,https://en.wikipedia.org/wiki/Hitoyoshi_Domain,True
Ōmura Domain,en,False,True,https://en.wikipedia.org/wiki/%C5%8Cmura_Domain,True
Ogi Domain,en,False,True,https://en.wikipedia.org/wiki/Ogi_Domain,True
Kashima Domain,en,False,True,https://en.wikipedia.org/wiki/Kashima_Domain,True
Karatsu Domain,en,False,True,https://en.wikipedia.org/wiki/Karatsu_Domain,True
Saga Domain,en,False,True,https://en.wikipedia.org/wiki/Saga_Domain,True
Shimabara Domain,en,False,True,https://en.wikipedia.org/wiki/Shimabara_Domain,True
Hasuike Domain,en,False,True,https://en.wikipedia.org/wiki/Hasuike_Domain,True
Hirado Domain,en,False,True,https://en.wikipedia.org/wiki/Hirado_Domain,True
Hirado Shinden Domain,en,False,True,https://en.wikipedia.org/wiki/Hirado_Shinden_Domain,True
Fukue Domain,en,False,True,https://en.wikipedia.org/wiki/Fukue_Domain,True
Obi Domain,en,False,True,https://en.wikipedia.org/wiki/Obi_Domain,True
Sadowara Domain,en,False,True,https://en.wikipedia.org/wiki/Sadowara_Domain,True
Takanabe Domain,en,False,True,https://en.wikipedia.org/wiki/Takanabe_Domain,True
Nobeoka Domain,en,False,True,https://en.wikipedia.org/wiki/Nobeoka_Domain,True
Kokura Domain,en,False,True,https://en.wikipedia.org/wiki/Kokura_Domain,True
Kokura Shinden Domain,en,False,True,https://en.wikipedia.org/wiki/Kokura_Shinden_Domain,True
Nakatsu Domain,en,False,True,https://en.wikipedia.org/wiki/Nakatsu_Domain,True
Usuki Domain,en,False,True,https://en.wikipedia.org/wiki/Usuki_Domain,True
Oka Domain,en,False,True,https://en.wikipedia.org/wiki/Oka_Domain,True
Kitsuki Domain,en,False,True,https://en.wikipedia.org/wiki/Kitsuki_Domain,True
Saiki Domain,en,False,True,https://en.wikipedia.org/wiki/Saiki_Domain,True
Hiji Domain,en,False,True,https://en.wikipedia.org/wiki/Hiji_Domain,True
Funai Domain,en,False,True,https://en.wikipedia.org/wiki/Funai_Domain,True
Mori Domain,en,False,True,https://en.wikipedia.org/wiki/Mori_Domain,True
Ryukyu Domain,en,False,True,https://en.wikipedia.org/wiki/Ryukyu_Domain,True
